Block SCALES
1 10000	# UV scale [GeV]
1 2 3 3 0.000000	# le(1,2,3,3)
1 3 1 1 0.000000	# le(1,3,1,1)
1 3 1 2 0.000000	# le(1,3,1,2)
1 3 1 3 0.000000	# le(1,3,1,3)
1 3 2 1 0.000000	# le(1,3,2,1)
1 3 2 2 0.000000	# le(1,3,2,2)
1 3 2 3 0.000000	# le(1,3,2,3)
1 3 3 1 0.000000	# le(1,3,3,1)
1 3 3 2 0.000000	# le(1,3,3,2)
1 3 3 3 0.000000	# le(1,3,3,3)
2 2 1 1 0.000000	# le(2,2,1,1)
2 2 1 2 0.000000	# le(2,2,1,2)
2 2 1 3 0.000000	# le(2,2,1,3)
2 2 2 2 0.000000	# le(2,2,2,2)
2 2 2 3 0.000000	# le(2,2,2,3)
2 2 3 3 0.000000	# le(2,2,3,3)
2 3 1 1 0.000000	# le(2,3,1,1)
2 3 1 2 0.000000	# le(2,3,1,2)
2 3 1 3 0.000000	# le(2,3,1,3)
2 3 2 1 0.000000	# le(2,3,2,1)
2 3 2 2 0.000000	# le(2,3,2,2)
2 3 2 3 0.000000	# le(2,3,2,3)
2 3 3 1 0.000000	# le(2,3,3,1)
2 3 3 2 0.000000	# le(2,3,3,2)
2 3 3 3 0.000000	# le(2,3,3,3)
3 3 1 1 0.000000	# le(3,3,1,1)
3 3 1 2 0.000000	# le(3,3,1,2)
3 3 1 3 0.000000	# le(3,3,1,3)
3 3 2 2 0.000000	# le(3,3,2,2)
3 3 2 3 0.000000	# le(3,3,2,3)
3 3 3 3 0.000000	# le(3,3,3,3)
Block IMWCLE
1 1 1 2 0.000000	# le(1,1,1,2)
1 1 1 3 0.000000	# le(1,1,1,3)
1 1 2 3 0.000000	# le(1,1,2,3)
1 2 1 1 0.000000	# le(1,2,1,1)
1 2 1 2 0.000000	# le(1,2,1,2)
1 2 1 3 0.000000	# le(1,2,1,3)
1 2 2 1 0.000000	# le(1,2,2,1)
1 2 2 2 0.000000	# le(1,2,2,2)
1 2 2 3 0.000000	# le(1,2,2,3)
1 2 3 1 0.000000	# le(1,2,3,1)
1 2 3 2 0.000000	# le(1,2,3,2)
1 2 3 3 0.000000	# le(1,2,3,3)
1 3 1 1 0.000000	# le(1,3,1,1)
1 3 1 2 0.000000	# le(1,3,1,2)
1 3 1 3 0.000000	# le(1,3,1,3)
1 3 2 1 0.000000	# le(1,3,2,1)
1 3 2 2 0.000000	# le(1,3,2,2)
1 3 2 3 0.000000	# le(1,3,2,3)
1 3 3 1 0.000000	# le(1,3,3,1)
1 3 3 2 0.000000	# le(1,3,3,2)
1 3 3 3 0.000000	# le(1,3,3,3)
2 2 1 2 0.000000	# le(2,2,1,2)
2 2 1 3 0.000000	# le(2,2,1,3)
2 2 2 3 0.000000	# le(2,2,2,3)
2 3 1 1 0.000000	# le(2,3,1,1)
2 3 1 2 0.000000	# le(2,3,1,2)
2 3 1 3 0.000000	# le(2,3,1,3)
2 3 2 1 0.000000	# le(2,3,2,1)
2 3 2 2 0.000000	# le(2,3,2,2)
2 3 2 3 0.000000	# le(2,3,2,3)
2 3 3 1 0.000000	# le(2,3,3,1)
2 3 3 2 0.000000	# le(2,3,3,2)
2 3 3 3 0.000000	# le(2,3,3,3)
3 3 1 2 0.000000	# le(3,3,1,2)
3 3 1 3 0.000000	# le(3,3,1,3)
3 3 2 3 0.000000	# le(3,3,2,3)
Block WCLU
1 1 1 1 0.000000	# lu(1,1,1,1)
1 1 1 2 0.000000	# lu(1,1,1,2)
1 1 1 3 0.000000	# lu(1,1,1,3)
1 1 2 2 0.000000	# lu(1,1,2,2)
1 1 2 3 0.000000	# lu(1,1,2,3)
1 1 3 3 0.000000	# lu(1,1,3,3)
1 2 1 1 0.000000	# lu(1,2,1,1)
1 2 1 2 0.000000	# lu(1,2,1,2)
1 2 1 3 0.000000	# lu(1,2,1,3)
1 2 2 1 0.000000	# lu(1,2,2,1)
1 2 2 2 0.000000	# lu(1,2,2,2)
1 2 2 3 0.000000	# lu(1,2,2,3)
1 2 3 1 0.000000	# lu(1,2,3,1)
1 2 3 2 0.000000	# lu(1,2,3,2)
1 2 3 3 0.000000	# lu(1,2,3,3)
1 3 1 1 0.000000	# lu(1,3,1,1)
1 3 1 2 0.000000	# lu(1,3,1,2)
1 3 1 3 0.000000	# lu(1,3,1,3)
1 3 2 1 0.000000	# lu(1,3,2,1)
1 3 2 2 0.000000	# lu(1,3,2,2)
1 3 2 3 0.000000	# lu(1,3,2,3)
1 3 3 1 0.000000	# lu(1,3,3,1)
1 3 3 2 0.000000	# lu(1,3,3,2)
1 3 3 3 0.000000	# lu(1,3,3,3)
2 2 1 1 0.000000	# lu(2,2,1,1)
2 2 1 2 0.000000	# lu(2,2,1,2)
2 2 1 3 0.000000	# lu(2,2,1,3)
2 2 2 2 0.000000	# lu(2,2,2,2)
2 2 2 3 0.000000	# lu(2,2,2,3)
2 2 3 3 0.000000	# lu(2,2,3,3)
2 3 1 1 0.000000	# lu(2,3,1,1)
2 3 1 2 0.000000	# lu(2,3,1,2)
2 3 1 3 0.000000	# lu(2,3,1,3)
2 3 2 1 0.000000	# lu(2,3,2,1)
2 3 2 2 0.000000	# lu(2,3,2,2)
2 3 2 3 0.000000	# lu(2,3,2,3)
2 3 3 1 0.000000	# lu(2,3,3,1)
2 3 3 2 0.000000	# lu(2,3,3,2)
2 3 3 3 0.000000	# lu(2,3,3,3)
3 3 1 1 0.000000	# lu(3,3,1,1)
3 3 1 2 0.000000	# lu(3,3,1,2)
3 3 1 3 0.000000	# lu(3,3,1,3)
3 3 2 2 0.000000	# lu(3,3,2,2)
3 3 2 3 0.000000	# lu(3,3,2,3)
3 3 3 3 0.000000	# lu(3,3,3,3)
Block IMWCLU
1 1 1 2 0.000000	# lu(1,1,1,2)
1 1 1 3 0.000000	# lu(1,1,1,3)
1 1 2 3 0.000000	# lu(1,1,2,3)
1 2 1 1 0.000000	# lu(1,2,1,1)
1 2 1 2 0.000000	# lu(1,2,1,2)
1 2 1 3 0.000000	# lu(1,2,1,3)
1 2 2 1 0.000000	# lu(1,2,2,1)
1 2 2 2 0.000000	# lu(1,2,2,2)
1 2 2 3 0.000000	# lu(1,2,2,3)
1 2 3 1 0.000000	# lu(1,2,3,1)
1 2 3 2 0.000000	# lu(1,2,3,2)
1 2 3 3 0.000000	# lu(1,2,3,3)
1 3 1 1 0.000000	# lu(1,3,1,1)
1 3 1 2 0.000000	# lu(1,3,1,2)
1 3 1 3 0.000000	# lu(1,3,1,3)
1 3 2 1 0.000000	# lu(1,3,2,1)
1 3 2 2 0.000000	# lu(1,3,2,2)
1 3 2 3 0.000000	# lu(1,3,2,3)
1 3 3 1 0.000000	# lu(1,3,3,1)
1 3 3 2 0.000000	# lu(1,3,3,2)
1 3 3 3 0.000000	# lu(1,3,3,3)
2 2 1 2 0.000000	# lu(2,2,1,2)
2 2 1 3 0.000000	# lu(2,2,1,3)
2 2 2 3 0.000000	# lu(2,2,2,3)
2 3 1 1 0.000000	# lu(2,3,1,1)
2 3 1 2 0.000000	# lu(2,3,1,2)
2 3 1 3 0.000000	# lu(2,3,1,3)
2 3 2 1 0.000000	# lu(2,3,2,1)
2 3 2 2 0.000000	# lu(2,3,2,2)
2 3 2 3 0.000000	# lu(2,3,2,3)
2 3 3 1 0.000000	# lu(2,3,3,1)
2 3 3 2 0.000000	# lu(2,3,3,2)
2 3 3 3 0.000000	# lu(2,3,3,3)
3 3 1 2 0.000000	# lu(3,3,1,2)
3 3 1 3 0.000000	# lu(3,3,1,3)
3 3 2 3 0.000000	# lu(3,3,2,3)
Block WCLD
1 1 1 1 0.000000	# ld(1,1,1,1)
1 1 1 2 0.000000	# ld(1,1,1,2)
1 1 1 3 0.000000	# ld(1,1,1,3)
1 1 2 2 0.000000	# ld(1,1,2,2)
1 1 2 3 0.000000	# ld(1,1,2,3)
1 1 3 3 0.000000	# ld(1,1,3,3)
1 2 1 1 0.000000	# ld(1,2,1,1)
1 2 1 2 0.000000	# ld(1,2,1,2)
1 2 1 3 0.000000	# ld(1,2,1,3)
1 2 2 1 0.000000	# ld(1,2,2,1)
1 2 2 2 0.000000	# ld(1,2,2,2)
1 2 2 3 0.000000	# ld(1,2,2,3)
1 2 3 1 0.000000	# ld(1,2,3,1)
1 2 3 2 0.000000	# ld(1,2,3,2)
1 2 3 3 0.000000	# ld(1,2,3,3)
1 3 1 1 0.000000	# ld(1,3,1,1)
1 3 1 2 0.000000	# ld(1,3,1,2)
1 3 1 3 0.000000	# ld(1,3,1,3)
1 3 2 1 0.000000	# ld(1,3,2,1)
1 3 2 2 0.000000	# ld(1,3,2,2)
1 3 2 3 0.000000	# ld(1,3,2,3)
1 3 3 1 0.000000	# ld(1,3,3,1)
1 3 3 2 0.000000	# ld(1,3,3,2)
1 3 3 3 0.000000	# ld(1,3,3,3)
2 2 1 1 0.000000	# ld(2,2,1,1)
2 2 1 2 0.000000	# ld(2,2,1,2)
2 2 1 3 0.000000	# ld(2,2,1,3)
2 2 2 2 0.000000	# ld(2,2,2,2)
2 2 2 3 0.000000	# ld(2,2,2,3)
2 2 3 3 0.000000	# ld(2,2,3,3)
2 3 1 1 0.000000	# ld(2,3,1,1)
2 3 1 2 0.000000	# ld(2,3,1,2)
2 3 1 3 0.000000	# ld(2,3,1,3)
2 3 2 1 0.000000	# ld(2,3,2,1)
2 3 2 2 0.000000	# ld(2,3,2,2)
2 3 2 3 0.000000	# ld(2,3,2,3)
2 3 3 1 0.000000	# ld(2,3,3,1)
2 3 3 2 0.000000	# ld(2,3,3,2)
2 3 3 3 0.000000	# ld(2,3,3,3)
3 3 1 1 0.000000	# ld(3,3,1,1)
3 3 1 2 0.000000	# ld(3,3,1,2)
3 3 1 3 0.000000	# ld(3,3,1,3)
3 3 2 2 0.000000	# ld(3,3,2,2)
3 3 2 3 0.000000	# ld(3,3,2,3)
3 3 3 3 0.000000	# ld(3,3,3,3)
Block IMWCLD
1 1 1 2 0.000000	# ld(1,1,1,2)
1 1 1 3 0.000000	# ld(1,1,1,3)
1 1 2 3 0.000000	# ld(1,1,2,3)
1 2 1 1 0.000000	# ld(1,2,1,1)
1 2 1 2 0.000000	# ld(1,2,1,2)
1 2 1 3 0.000000	# ld(1,2,1,3)
1 2 2 1 0.000000	# ld(1,2,2,1)
1 2 2 2 0.000000	# ld(1,2,2,2)
1 2 2 3 0.000000	# ld(1,2,2,3)
1 2 3 1 0.000000	# ld(1,2,3,1)
1 2 3 2 0.000000	# ld(1,2,3,2)
1 2 3 3 0.000000	# ld(1,2,3,3)
1 3 1 1 0.000000	# ld(1,3,1,1)
1 3 1 2 0.000000	# ld(1,3,1,2)
1 3 1 3 0.000000	# ld(1,3,1,3)
1 3 2 1 0.000000	# ld(1,3,2,1)
1 3 2 2 0.000000	# ld(1,3,2,2)
1 3 2 3 0.000000	# ld(1,3,2,3)
1 3 3 1 0.000000	# ld(1,3,3,1)
1 3 3 2 0.000000	# ld(1,3,3,2)
1 3 3 3 0.000000	# ld(1,3,3,3)
2 2 1 2 0.000000	# ld(2,2,1,2)
2 2 1 3 0.000000	# ld(2,2,1,3)
2 2 2 3 0.000000	# ld(2,2,2,3)
2 3 1 1 0.000000	# ld(2,3,1,1)
2 3 1 2 0.000000	# ld(2,3,1,2)
2 3 1 3 0.000000	# ld(2,3,1,3)
2 3 2 1 0.000000	# ld(2,3,2,1)
2 3 2 2 0.000000	# ld(2,3,2,2)
2 3 2 3 0.000000	# ld(2,3,2,3)
2 3 3 1 0.000000	# ld(2,3,3,1)
2 3 3 2 0.000000	# ld(2,3,3,2)
2 3 3 3 0.000000	# ld(2,3,3,3)
3 3 1 2 0.000000	# ld(3,3,1,2)
3 3 1 3 0.000000	# ld(3,3,1,3)
3 3 2 3 0.000000	# ld(3,3,2,3)
Block WCQE
1 1 1 1 0.000000	# qe(1,1,1,1)
1 1 1 2 0.000000	# qe(1,1,1,2)
1 1 1 3 0.000000	# qe(1,1,1,3)
1 1 2 2 0.000000	# qe(1,1,2,2)
1 1 2 3 0.000000	# qe(1,1,2,3)
1 1 3 3 0.000000	# qe(1,1,3,3)
1 2 1 1 0.000000	# qe(1,2,1,1)
1 2 1 2 0.000000	# qe(1,2,1,2)
1 2 1 3 0.000000	# qe(1,2,1,3)
1 2 2 1 0.000000	# qe(1,2,2,1)
1 2 2 2 0.000000	# qe(1,2,2,2)
1 2 2 3 0.000000	# qe(1,2,2,3)
1 2 3 1 0.000000	# qe(1,2,3,1)
1 2 3 2 0.000000	# qe(1,2,3,2)
1 2 3 3 0.000000	# qe(1,2,3,3)
1 3 1 1 0.000000	# qe(1,3,1,1)
1 3 1 2 0.000000	# qe(1,3,1,2)
1 3 1 3 0.000000	# qe(1,3,1,3)
1 3 2 1 0.000000	# qe(1,3,2,1)
1 3 2 2 0.000000	# qe(1,3,2,2)
1 3 2 3 0.000000	# qe(1,3,2,3)
1 3 3 1 0.000000	# qe(1,3,3,1)
1 3 3 2 0.000000	# qe(1,3,3,2)
1 3 3 3 0.000000	# qe(1,3,3,3)
2 2 1 1 0.000000	# qe(2,2,1,1)
2 2 1 2 0.000000	# qe(2,2,1,2)
2 2 1 3 0.000000	# qe(2,2,1,3)
2 2 2 2 0.000000	# qe(2,2,2,2)
2 2 2 3 0.000000	# qe(2,2,2,3)
2 2 3 3 0.000000	# qe(2,2,3,3)
2 3 1 1 0.000000	# qe(2,3,1,1)
2 3 1 2 0.000000	# qe(2,3,1,2)
2 3 1 3 0.000000	# qe(2,3,1,3)
2 3 2 1 0.000000	# qe(2,3,2,1)
2 3 2 2 0.000000	# qe(2,3,2,2)
2 3 2 3 0.000000	# qe(2,3,2,3)
2 3 3 1 0.000000	# qe(2,3,3,1)
2 3 3 2 0.000000	# qe(2,3,3,2)
2 3 3 3 0.000000	# qe(2,3,3,3)
3 3 1 1 0.000000	# qe(3,3,1,1)
3 3 1 2 0.000000	# qe(3,3,1,2)
3 3 1 3 0.000000	# qe(3,3,1,3)
3 3 2 2 0.000000	# qe(3,3,2,2)
3 3 2 3 0.000000	# qe(3,3,2,3)
3 3 3 3 0.000000	# qe(3,3,3,3)
Block IMWCQE
1 1 1 2 0.000000	# qe(1,1,1,2)
1 1 1 3 0.000000	# qe(1,1,1,3)
1 1 2 3 0.000000	# qe(1,1,2,3)
1 2 1 1 0.000000	# qe(1,2,1,1)
1 2 1 2 0.000000	# qe(1,2,1,2)
1 2 1 3 0.000000	# qe(1,2,1,3)
1 2 2 1 0.000000	# qe(1,2,2,1)
1 2 2 2 0.000000	# qe(1,2,2,2)
1 2 2 3 0.000000	# qe(1,2,2,3)
1 2 3 1 0.000000	# qe(1,2,3,1)
1 2 3 2 0.000000	# qe(1,2,3,2)
1 2 3 3 0.000000	# qe(1,2,3,3)
1 3 1 1 0.000000	# qe(1,3,1,1)
1 3 1 2 0.000000	# qe(1,3,1,2)
1 3 1 3 0.000000	# qe(1,3,1,3)
1 3 2 1 0.000000	# qe(1,3,2,1)
1 3 2 2 0.000000	# qe(1,3,2,2)
1 3 2 3 0.000000	# qe(1,3,2,3)
1 3 3 1 0.000000	# qe(1,3,3,1)
1 3 3 2 0.000000	# qe(1,3,3,2)
1 3 3 3 0.000000	# qe(1,3,3,3)
2 2 1 2 0.000000	# qe(2,2,1,2)
2 2 1 3 0.000000	# qe(2,2,1,3)
2 2 2 3 0.000000	# qe(2,2,2,3)
2 3 1 1 0.000000	# qe(2,3,1,1)
2 3 1 2 0.000000	# qe(2,3,1,2)
2 3 1 3 0.000000	# qe(2,3,1,3)
2 3 2 1 0.000000	# qe(2,3,2,1)
2 3 2 2 0.000000	# qe(2,3,2,2)
2 3 2 3 0.000000	# qe(2,3,2,3)
2 3 3 1 0.000000	# qe(2,3,3,1)
2 3 3 2 0.000000	# qe(2,3,3,2)
2 3 3 3 0.000000	# qe(2,3,3,3)
3 3 1 2 0.000000	# qe(3,3,1,2)
3 3 1 3 0.000000	# qe(3,3,1,3)
3 3 2 3 0.000000	# qe(3,3,2,3)
Block WCQU1
1 1 1 1 0.000000	# qu1(1,1,1,1)
1 1 1 2 0.000000	# qu1(1,1,1,2)
1 1 1 3 0.000000	# qu1(1,1,1,3)
1 1 2 2 0.000000	# qu1(1,1,2,2)
1 1 2 3 0.000000	# qu1(1,1,2,3)
1 1 3 3 0.000000	# qu1(1,1,3,3)
1 2 1 1 0.000000	# qu1(1,2,1,1)
1 2 1 2 0.000000	# qu1(1,2,1,2)
1 2 1 3 0.000000	# qu1(1,2,1,3)
1 2 2 1 0.000000	# qu1(1,2,2,1)
1 2 2 2 0.000000	# qu1(1,2,2,2)
1 2 2 3 0.000000	# qu1(1,2,2,3)
1 2 3 1 0.000000	# qu1(1,2,3,1)
1 2 3 2 0.000000	# qu1(1,2,3,2)
1 2 3 3 0.000000	# qu1(1,2,3,3)
1 3 1 1 0.000000	# qu1(1,3,1,1)
1 3 1 2 0.000000	# qu1(1,3,1,2)
1 3 1 3 0.000000	# qu1(1,3,1,3)
1 3 2 1 0.000000	# qu1(1,3,2,1)
1 3 2 2 0.000000	# qu1(1,3,2,2)
1 3 2 3 0.000000	# qu1(1,3,2,3)
1 3 3 1 0.000000	# qu1(1,3,3,1)
1 3 3 2 0.000000	# qu1(1,3,3,2)
1 3 3 3 0.000000	# qu1(1,3,3,3)
2 2 1 1 0.000000	# qu1(2,2,1,1)
2 2 1 2 0.000000	# qu1(2,2,1,2)
2 2 1 3 0.000000	# qu1(2,2,1,3)
2 2 2 2 0.000000	# qu1(2,2,2,2)
2 2 2 3 0.000000	# qu1(2,2,2,3)
2 2 3 3 0.000000	# qu1(2,2,3,3)
2 3 1 1 0.000000	# qu1(2,3,1,1)
2 3 1 2 0.000000	# qu1(2,3,1,2)
2 3 1 3 0.000000	# qu1(2,3,1,3)
2 3 2 1 0.000000	# qu1(2,3,2,1)
2 3 2 2 0.000000	# qu1(2,3,2,2)
2 3 2 3 0.000000	# qu1(2,3,2,3)
2 3 3 1 0.000000	# qu1(2,3,3,1)
2 3 3 2 0.000000	# qu1(2,3,3,2)
2 3 3 3 0.000000	# qu1(2,3,3,3)
3 3 1 1 0.000000	# qu1(3,3,1,1)
3 3 1 2 0.000000	# qu1(3,3,1,2)
3 3 1 3 0.000000	# qu1(3,3,1,3)
3 3 2 2 0.000000	# qu1(3,3,2,2)
3 3 2 3 0.000000	# qu1(3,3,2,3)
3 3 3 3 0.000000	# qu1(3,3,3,3)
Block IMWCQU1
1 1 1 2 0.000000	# qu1(1,1,1,2)
1 1 1 3 0.000000	# qu1(1,1,1,3)
1 1 2 3 0.000000	# qu1(1,1,2,3)
1 2 1 1 0.000000	# qu1(1,2,1,1)
1 2 1 2 0.000000	# qu1(1,2,1,2)
1 2 1 3 0.000000	# qu1(1,2,1,3)
1 2 2 1 0.000000	# qu1(1,2,2,1)
1 2 2 2 0.000000	# qu1(1,2,2,2)
1 2 2 3 0.000000	# qu1(1,2,2,3)
1 2 3 1 0.000000	# qu1(1,2,3,1)
1 2 3 2 0.000000	# qu1(1,2,3,2)
1 2 3 3 0.000000	# qu1(1,2,3,3)
1 3 1 1 0.000000	# qu1(1,3,1,1)
1 3 1 2 0.000000	# qu1(1,3,1,2)
1 3 1 3 0.000000	# qu1(1,3,1,3)
1 3 2 1 0.000000	# qu1(1,3,2,1)
1 3 2 2 0.000000	# qu1(1,3,2,2)
1 3 2 3 0.000000	# qu1(1,3,2,3)
1 3 3 1 0.000000	# qu1(1,3,3,1)
1 3 3 2 0.000000	# qu1(1,3,3,2)
1 3 3 3 0.000000	# qu1(1,3,3,3)
2 2 1 2 0.000000	# qu1(2,2,1,2)
2 2 1 3 0.000000	# qu1(2,2,1,3)
2 2 2 3 0.000000	# qu1(2,2,2,3)
2 3 1 1 0.000000	# qu1(2,3,1,1)
2 3 1 2 0.000000	# qu1(2,3,1,2)
2 3 1 3 0.000000	# qu1(2,3,1,3)
2 3 2 1 0.000000	# qu1(2,3,2,1)
2 3 2 2 0.000000	# qu1(2,3,2,2)
2 3 2 3 0.000000	# qu1(2,3,2,3)
2 3 3 1 0.000000	# qu1(2,3,3,1)
2 3 3 2 0.000000	# qu1(2,3,3,2)
2 3 3 3 0.000000	# qu1(2,3,3,3)
3 3 1 2 0.000000	# qu1(3,3,1,2)
3 3 1 3 0.000000	# qu1(3,3,1,3)
3 3 2 3 0.000000	# qu1(3,3,2,3)
Block WCQU8
1 1 1 1 0.000000	# qu8(1,1,1,1)
1 1 1 2 0.000000	# qu8(1,1,1,2)
1 1 1 3 0.000000	# qu8(1,1,1,3)
1 1 2 2 0.000000	# qu8(1,1,2,2)
1 1 2 3 0.000000	# qu8(1,1,2,3)
1 1 3 3 0.000000	# qu8(1,1,3,3)
1 2 1 1 0.000000	# qu8(1,2,1,1)
1 2 1 2 0.000000	# qu8(1,2,1,2)
1 2 1 3 0.000000	# qu8(1,2,1,3)
1 2 2 1 0.000000	# qu8(1,2,2,1)
1 2 2 2 0.000000	# qu8(1,2,2,2)
1 2 2 3 0.000000	# qu8(1,2,2,3)
1 2 3 1 0.000000	# qu8(1,2,3,1)
1 2 3 2 0.000000	# qu8(1,2,3,2)
1 2 3 3 0.000000	# qu8(1,2,3,3)
1 3 1 1 0.000000	# qu8(1,3,1,1)
1 3 1 2 0.000000	# qu8(1,3,1,2)
1 3 1 3 0.000000	# qu8(1,3,1,3)
1 3 2 1 0.000000	# qu8(1,3,2,1)
1 3 2 2 0.000000	# qu8(1,3,2,2)
1 3 2 3 0.000000	# qu8(1,3,2,3)
1 3 3 1 0.000000	# qu8(1,3,3,1)
1 3 3 2 0.000000	# qu8(1,3,3,2)
1 3 3 3 0.000000	# qu8(1,3,3,3)
2 2 1 1 0.000000	# qu8(2,2,1,1)
2 2 1 2 0.000000	# qu8(2,2,1,2)
2 2 1 3 0.000000	# qu8(2,2,1,3)
2 2 2 2 0.000000	# qu8(2,2,2,2)
2 2 2 3 0.000000	# qu8(2,2,2,3)
2 2 3 3 0.000000	# qu8(2,2,3,3)
2 3 1 1 0.000000	# qu8(2,3,1,1)
2 3 1 2 0.000000	# qu8(2,3,1,2)
2 3 1 3 0.000000	# qu8(2,3,1,3)
2 3 2 1 0.000000	# qu8(2,3,2,1)
2 3 2 2 0.000000	# qu8(2,3,2,2)
2 3 2 3 0.000000	# qu8(2,3,2,3)
2 3 3 1 0.000000	# qu8(2,3,3,1)
2 3 3 2 0.000000	# qu8(2,3,3,2)
2 3 3 3 0.000000	# qu8(2,3,3,3)
3 3 1 1 0.000000	# qu8(3,3,1,1)
3 3 1 2 0.000000	# qu8(3,3,1,2)
3 3 1 3 0.000000	# qu8(3,3,1,3)
3 3 2 2 0.000000	# qu8(3,3,2,2)
3 3 2 3 0.000000	# qu8(3,3,2,3)
3 3 3 3 0.000000	# qu8(3,3,3,3)
Block IMWCQU8
1 1 1 2 0.000000	# qu8(1,1,1,2)
1 1 1 3 0.000000	# qu8(1,1,1,3)
1 1 2 3 0.000000	# qu8(1,1,2,3)
1 2 1 1 0.000000	# qu8(1,2,1,1)
1 2 1 2 0.000000	# qu8(1,2,1,2)
1 2 1 3 0.000000	# qu8(1,2,1,3)
1 2 2 1 0.000000	# qu8(1,2,2,1)
1 2 2 2 0.000000	# qu8(1,2,2,2)
1 2 2 3 0.000000	# qu8(1,2,2,3)
1 2 3 1 0.000000	# qu8(1,2,3,1)
1 2 3 2 0.000000	# qu8(1,2,3,2)
1 2 3 3 0.000000	# qu8(1,2,3,3)
1 3 1 1 0.000000	# qu8(1,3,1,1)
1 3 1 2 0.000000	# qu8(1,3,1,2)
1 3 1 3 0.000000	# qu8(1,3,1,3)
1 3 2 1 0.000000	# qu8(1,3,2,1)
1 3 2 2 0.000000	# qu8(1,3,2,2)
1 3 2 3 0.000000	# qu8(1,3,2,3)
1 3 3 1 0.000000	# qu8(1,3,3,1)
1 3 3 2 0.000000	# qu8(1,3,3,2)
1 3 3 3 0.000000	# qu8(1,3,3,3)
2 2 1 2 0.000000	# qu8(2,2,1,2)
2 2 1 3 0.000000	# qu8(2,2,1,3)
2 2 2 3 0.000000	# qu8(2,2,2,3)
2 3 1 1 0.000000	# qu8(2,3,1,1)
2 3 1 2 0.000000	# qu8(2,3,1,2)
2 3 1 3 0.000000	# qu8(2,3,1,3)
2 3 2 1 0.000000	# qu8(2,3,2,1)
2 3 2 2 0.000000	# qu8(2,3,2,2)
2 3 2 3 0.000000	# qu8(2,3,2,3)
2 3 3 1 0.000000	# qu8(2,3,3,1)
2 3 3 2 0.000000	# qu8(2,3,3,2)
2 3 3 3 0.000000	# qu8(2,3,3,3)
3 3 1 2 0.000000	# qu8(3,3,1,2)
3 3 1 3 0.000000	# qu8(3,3,1,3)
3 3 2 3 0.000000	# qu8(3,3,2,3)
Block WCQD1
1 1 1 1 0.000000	# qd1(1,1,1,1)
1 1 1 2 0.000000	# qd1(1,1,1,2)
1 1 1 3 0.000000	# qd1(1,1,1,3)
1 1 2 2 0.000000	# qd1(1,1,2,2)
1 1 2 3 -7.198494E-15	# qd1(1,1,2,3)
1 1 3 3 0.000000	# qd1(1,1,3,3)
1 2 1 1 0.000000	# qd1(1,2,1,1)
1 2 1 2 0.000000	# qd1(1,2,1,2)
1 2 1 3 0.000000	# qd1(1,2,1,3)
1 2 2 1 0.000000	# qd1(1,2,2,1)
1 2 2 2 0.000000	# qd1(1,2,2,2)
1 2 2 3 3.157115E-14	# qd1(1,2,2,3)
1 2 3 1 0.000000	# qd1(1,2,3,1)
1 2 3 2 -2.760761E-10	# qd1(1,2,3,2)
1 2 3 3 0.000000	# qd1(1,2,3,3)
1 3 1 1 0.000000	# qd1(1,3,1,1)
1 3 1 2 0.000000	# qd1(1,3,1,2)
1 3 1 3 0.000000	# qd1(1,3,1,3)
1 3 2 1 0.000000	# qd1(1,3,2,1)
1 3 2 2 0.000000	# qd1(1,3,2,2)
1 3 2 3 1.103618E-11	# qd1(1,3,2,3)
1 3 3 1 0.000000	# qd1(1,3,3,1)
1 3 3 2 -7.497636E-13	# qd1(1,3,3,2)
1 3 3 3 0.000000	# qd1(1,3,3,3)
2 2 1 1 0.000000	# qd1(2,2,1,1)
2 2 1 2 0.000000	# qd1(2,2,1,2)
2 2 1 3 0.000000	# qd1(2,2,1,3)
2 2 2 2 0.000000	# qd1(2,2,2,2)
2 2 2 3 1.424560E-9	# qd1(2,2,2,3)
2 2 3 3 0.000000	# qd1(2,2,3,3)
2 3 1 1 0.000000	# qd1(2,3,1,1)
2 3 1 2 0.000000	# qd1(2,3,1,2)
2 3 1 3 0.000000	# qd1(2,3,1,3)
2 3 2 1 0.000000	# qd1(2,3,2,1)
2 3 2 2 0.000000	# qd1(2,3,2,2)
2 3 2 3 4.942402E-7	# qd1(2,3,2,3)
2 3 3 1 0.000000	# qd1(2,3,3,1)
2 3 3 2 3.839177E-12	# qd1(2,3,3,2)
2 3 3 3 0.000000	# qd1(2,3,3,3)
3 3 1 1 0.000000	# qd1(3,3,1,1)
3 3 1 2 0.000000	# qd1(3,3,1,2)
3 3 1 3 0.000000	# qd1(3,3,1,3)
3 3 2 2 0.000000	# qd1(3,3,2,2)
3 3 2 3 1.332413E-9	# qd1(3,3,2,3)
3 3 3 3 0.000000	# qd1(3,3,3,3)
Block IMWCQD1
1 1 1 2 0.000000	# qd1(1,1,1,2)
1 1 1 3 0.000000	# qd1(1,1,1,3)
1 1 2 3 0.000000	# qd1(1,1,2,3)
1 2 1 1 0.000000	# qd1(1,2,1,1)
1 2 1 2 0.000000	# qd1(1,2,1,2)
1 2 1 3 0.000000	# qd1(1,2,1,3)
1 2 2 1 0.000000	# qd1(1,2,2,1)
1 2 2 2 0.000000	# qd1(1,2,2,2)
1 2 2 3 0.000000	# qd1(1,2,2,3)
