Block SCALES
1 10000	# UV scale [GeV]
2 3 -0.000553	# uB(2,3)
3 1 2.382934E-10	# uB(3,1)
3 2 3.871407E-6	# uB(3,2)
3 3 0.013289	# uB(3,3)
Block WCDG
1 1 0.000000	# dG(1,1)
1 2 0.000000	# dG(1,2)
1 3 0.000000	# dG(1,3)
2 1 0.000000	# dG(2,1)
2 2 0.000000	# dG(2,2)
2 3 0.000000	# dG(2,3)
3 1 0.000000	# dG(3,1)
3 2 0.000000	# dG(3,2)
3 3 0.000000	# dG(3,3)
Block IMWCDG
1 1 0.000000	# dG(1,1)
1 2 0.000000	# dG(1,2)
1 3 0.000000	# dG(1,3)
2 1 0.000000	# dG(2,1)
2 2 0.000000	# dG(2,2)
2 3 0.000000	# dG(2,3)
3 1 0.000000	# dG(3,1)
3 2 0.000000	# dG(3,2)
3 3 0.000000	# dG(3,3)
Block WCDW
1 1 0.000000	# dW(1,1)
1 2 0.000000	# dW(1,2)
1 3 0.000000	# dW(1,3)
2 1 0.000000	# dW(2,1)
2 2 0.000000	# dW(2,2)
2 3 0.000000	# dW(2,3)
3 1 0.000000	# dW(3,1)
3 2 0.000000	# dW(3,2)
3 3 0.000000	# dW(3,3)
Block IMWCDW
1 1 0.000000	# dW(1,1)
1 2 0.000000	# dW(1,2)
1 3 0.000000	# dW(1,3)
2 1 0.000000	# dW(2,1)
2 2 0.000000	# dW(2,2)
2 3 0.000000	# dW(2,3)
3 1 0.000000	# dW(3,1)
3 2 0.000000	# dW(3,2)
3 3 0.000000	# dW(3,3)
Block WCDB
1 1 0.000000	# dB(1,1)
1 2 1.282450E-11	# dB(1,2)
1 3 -1.285467E-8	# dB(1,3)
2 1 -6.278660E-13	# dB(2,1)
2 2 0.000000	# dB(2,2)
2 3 -2.967998E-9	# dB(2,3)
3 1 1.445381E-11	# dB(3,1)
3 2 6.816456E-11	# dB(3,2)
3 3 0.000000	# dB(3,3)
Block IMWCDB
1 1 -6.811438E-8	# dB(1,1)
1 2 -3.106314E-11	# dB(1,2)
1 3 3.164598E-8	# dB(1,3)
2 1 -1.520799E-12	# dB(2,1)
2 2 -1.391120E-6	# dB(2,2)
2 3 -1.632940E-7	# dB(2,3)
3 1 3.558278E-11	# dB(3,1)
3 2 -3.750294E-9	# dB(3,2)
3 3 -0.000057	# dB(3,3)
Block WCPHIL1
1 1 0.000000	# phil1(1,1)
1 2 0.000000	# phil1(1,2)
1 3 0.000000	# phil1(1,3)
2 2 0.000000	# phil1(2,2)
2 3 0.000000	# phil1(2,3)
3 3 0.000000	# phil1(3,3)
Block IMWCPHIL1
1 2 0.000000	# phil1(1,2)
1 3 0.000000	# phil1(1,3)
2 3 0.000000	# phil1(2,3)
Block WCPHIL3
1 1 0.000000	# phil3(1,1)
1 2 0.000000	# phil3(1,2)
1 3 0.000000	# phil3(1,3)
2 2 0.000000	# phil3(2,2)
2 3 0.000000	# phil3(2,3)
3 3 0.000000	# phil3(3,3)
Block IMWCPHIL3
1 2 0.000000	# phil3(1,2)
1 3 0.000000	# phil3(1,3)
2 3 0.000000	# phil3(2,3)
Block WCPHIE
1 1 0.000000	# phie(1,1)
1 2 0.000000	# phie(1,2)
1 3 0.000000	# phie(1,3)
2 2 0.000000	# phie(2,2)
2 3 0.000000	# phie(2,3)
3 3 0.000000	# phie(3,3)
Block IMWCPHIE
1 2 0.000000	# phie(1,2)
1 3 0.000000	# phie(1,3)
2 3 0.000000	# phie(2,3)
Block WCPHIQ1
1 1 0.001205	# phiq1(1,1)
1 2 -0.003108	# phiq1(1,2)
1 3 0.074721	# phiq1(1,3)
2 2 0.000000	# phiq1(2,2)
2 3 -0.000026	# phiq1(2,3)
3 3 0.001205	# phiq1(3,3)
Block IMWCPHIQ1
1 2 0.000000	# phiq1(1,2)
1 3 -0.000056	# phiq1(1,3)
2 3 0.000000	# phiq1(2,3)
Block WCPHIQ3
1 1 -0.000268	# phiq3(1,1)
1 2 0.000691	# phiq3(1,2)
1 3 0.946964	# phiq3(1,3)
2 2 0.000000	# phiq3(2,2)
2 3 5.697827E-6	# phiq3(2,3)
3 3 -0.000268	# phiq3(3,3)
Block IMWCPHIQ3
1 2 0.000000	# phiq3(1,2)
1 3 0.000013	# phiq3(1,3)
2 3 0.000000	# phiq3(2,3)
Block WCPHIU
1 1 0.000000	# phiu(1,1)
1 2 0.000000	# phiu(1,2)
1 3 0.000000	# phiu(1,3)
2 2 0.000000	# phiu(2,2)
2 3 0.000000	# phiu(2,3)
3 3 0.000000	# phiu(3,3)
Block IMWCPHIU
1 2 0.000000	# phiu(1,2)
1 3 0.000000	# phiu(1,3)
2 3 0.000000	# phiu(2,3)
Block WCPHID
1 1 0.000000	# phid(1,1)
1 2 0.000000	# phid(1,2)
1 3 0.000000	# phid(1,3)
2 2 0.000000	# phid(2,2)
2 3 -1.654180E-8	# phid(2,3)
3 3 0.000000	# phid(3,3)
Block IMWCPHID
1 2 0.000000	# phid(1,2)
1 3 0.000000	# phid(1,3)
2 3 0.000000	# phid(2,3)
Block WCPHIUD
1 1 0.000000	# phiud(1,1)
1 2 0.000000	# phiud(1,2)
1 3 0.000000	# phiud(1,3)
2 1 0.000000	# phiud(2,1)
