Block SCALES
1 10000	# UV scale [GeV]
17 -5.283135E-14	# C3'(sbee)
18 0.000000	# C5'(sbee)
19 0.000000	# C7'(sbee)
20 0.000000	# C9'(sbee)
21 5.044760E-13	# C1'(sbmumu)
22 -5.283135E-14	# C3'(sbmumu)
23 0.000000	# C5'(sbmumu)
24 0.000000	# C7'(sbmumu)
25 0.000000	# C9'(sbmumu)
26 5.044760E-13	# C1'(sbtautau)
27 -5.283135E-14	# C3'(sbtautau)
28 0.000000	# C5'(sbtautau)
29 0.000000	# C7'(sbtautau)
30 0.000000	# C9'(sbtautau)
